Industry,Gender,Education,Avg_Salary
"Education (Other)",Non-binary,"Master's degree",70270.00
"Information Services",Woman,"Master's degree",70476.60
"Property or Construction",Woman,"Professional degree (MD, JD, etc)",70500.00
"Education (Primary/Secondary)","Prefer not to answer","Master's degree",70600.00
"Government and Public Administration",Woman,"College degree",70673.48
Energy,"Prefer not to answer","College degree",70720.00
"Health care",Man,"High School",70833.33
"Regulatory Affairs",Woman,"College degree",70980.00
"Life Science",Woman,"Master's degree",71000.00
"Defense Contractor ",Man,"College degree",71000.00
Surveying,Woman,"Master's degree",71000.00
"Renewable Energy",Non-binary,"College degree",71077.00
"Business or Consulting",Man,"Professional degree (MD, JD, etc)",71107.00
Manufacturing,Man,"College degree",71158.67
"Clinical Research",Woman,"College degree",71165.20
"Behavioral Health",Woman,"Master's degree",71208.00
"Marketing, Advertising & PR",Non-binary,"College degree",71485.20
Manufacturing,Man,"Master's degree",71625.00
Sales,Woman,PhD,71666.67
"International Development",Woman,"College degree",71675.00
Nonprofits,Man,"College degree",71679.24
"Cancer Research",Woman,"College degree",71700.00
Law,Other,"College degree",71733.33
"Professional Services",Woman,"College degree",71873.13
Nonprofits,Woman,"Master's degree",71958.83
Gambling,Man,"Master's degree",72000.00
Politics,Other,"College degree",72000.00
"Commercial Real Estate",Woman,"Master's degree",72000.00
"In-House Marketing",Woman,"College degree",72000.00
Faith/spirituality,Woman,"Master's degree",72000.00
"Specialist clothing",Woman,"College degree",72000.00
"Political Campaigns",Man,"College degree",72000.00
Planning,Woman,"College degree",72000.00
"Social Work",Non-binary,"Professional degree (MD, JD, etc)",72000.00
"Pension Benefit Administration",Man,"College degree",72000.00
"Art & Design",Woman,"Master's degree",72034.85
"Science ",Woman,PhD,72333.33
Recruitment,Woman,"College degree",72442.25
Retail,Woman,"Master's degree",72491.64
"Public Health Research",Woman,"Master's degree",72554.33
Labour,Woman,"College degree",72634.80
Entertainment,Woman,"Master's degree",72689.00
Logistics,Woman,"College degree",72775.00
"Animal Caretaker",Woman,"College degree",72800.00
"Engineering or Manufacturing",Man,"High School",72853.18
"Commercial Real Estate",Woman,"College degree",72939.63
Eap,Woman,"College degree",73000.00
Energy,Woman,"Master's degree",73000.00
Recruitment,Man,"College degree",73031.58
"Think tank",Woman,"Master's degree",73140.00
"Health care",Non-binary,"College degree",73156.87
Entertainment,Woman,"College degree",73226.77
Procurement,Woman,"College degree",73250.00
"Education (Higher Education)",Other,PhD,73289.14
"Media & Digital",Woman,"College degree",73326.97
"Media & Digital",Woman,"Master's degree",73342.49
"Public Health Research",Woman,"College degree",73500.00
"Health care",Man,"College degree",73560.70
"Government and Public Administration",Man,"College degree",73748.68
"Engineering or Manufacturing","Prefer not to answer","Master's degree",73880.00
Accessibility,Woman,"College degree",74000.00
"Law Enforcement & Security",Man,"Master's degree",74000.00
"Accounting, Banking & Finance",Woman,"College degree",74041.19
"Staffing agency",Woman,"Master's degree",74159.00
Nonprofits,Non-binary,PhD,74651.00
Insurance,Woman,"College degree",74668.72
Law,Man,"College degree",74816.00
Nonprofits,Man,"Master's degree",74936.15
Lobbying,Woman,"College degree",75000.00
"Fitness and Entertainment",Woman,PhD,75000.00
"Contact Center",Woman,"College degree",75000.00
"Regulatory Affairs",Man,"College degree",75000.00
"State and federal contractor",Woman,"College degree",75000.00
aviation,Woman,"Master's degree",75000.00
Wholesale,Woman,"Master's degree",75000.00
"Earth sciences",Woman,"Master's degree",75000.00
"Gas & Oil",Woman,"College degree",75000.00
Space,Woman,"College degree",75000.00
"Hospitality & Events","Prefer not to answer","College degree",75000.00
"International defence",Woman,"Master's degree",75000.00
"Pest Control",Woman,"Master's degree",75000.00
"Energy - Oil and Gas",Man,PhD,75000.00
Music,Woman,"Master's degree",75000.00
"Political Campaigns",Woman,"Professional degree (MD, JD, etc)",75000.00
"FMCG development",Woman,"Master's degree",75000.00
"Historic Preservation",Woman,"Master's degree",75000.00
"Utilities & Telecommunications","Prefer not to answer","College degree",75000.00
Translation,Other,"College degree",75000.00
"Commodities Trading",Woman,"College degree",75000.00
"Art & Design",Man,"Master's degree",75110.00
Architecture,Woman,"College degree",75277.27
"Engineering or Manufacturing",Non-binary,"College degree",75279.84
Manufacturing,Woman,"College degree",75294.61
"Transport or Logistics",Man,"College degree",75335.70
"Property or Construction",Man,"College degree",75498.22
"Marketing, Advertising & PR",Woman,"High School",75500.00
Food,Woman,"Master's degree",75500.00
"Social Work",Man,"Master's degree",75680.60
"Utilities & Telecommunications",Woman,"College degree",75951.99
"Marketing, Advertising & PR","Prefer not to answer","Master's degree",76000.00
"Emergency Management",Woman,"Master's degree",76000.00
Surveying,Woman,"College degree",76000.00
Sales,Woman,"High School",76087.50
Wholesale,Man,"College degree",76147.00
Communications,Man,"College degree",76500.00
"Public Health Research",Woman,PhD,76500.00
"Health care",Non-binary,"Master's degree",76588.00
Buyer,Woman,"College degree",76650.00
"Agriculture or Forestry",Woman,"Master's degree",76725.10
"Oil and Gas",Woman,"Master's degree",76750.00
"Utilities & Telecommunications",Man,"High School",76937.50
"Leisure, Sport & Tourism",Woman,"Master's degree",76940.87
"Business or Consulting","Prefer not to answer","Master's degree",77000.00
Marketing,Man,"College degree",77000.00
Unknown,Woman,"Master's degree",77220.00
Philanthropy,Woman,"College degree",77385.71
"Education (Higher Education)",Woman,PhD,77463.70
"Operational Training",Woman,"College degree",77500.00
Apparel,Woman,"College degree",77500.00
"Food and Beverage",Woman,"Master's degree",77500.00
Medical,Woman,"College degree",77506.63
"Marketing, Advertising & PR",Woman,"College degree",77517.38
Biotech,Man,"College degree",77597.80
"Marketing, Advertising & PR",Man,"Master's degree",77671.93
"Property or Construction",Woman,"Master's degree",77738.94
"Media & Digital",Man,"College degree",77936.03
Translation,Woman,"Master's degree",78057.14
Law,Non-binary,"Master's degree",78066.67
"Government and Public Administration",Non-binary,"Professional degree (MD, JD, etc)",78175.00
"Engineering or Manufacturing",Non-binary,"Master's degree",78466.67
"Transport or Logistics",Other,"College degree",78500.00
Law,Woman,"Master's degree",78532.82
Research,Woman,PhD,78875.00
"E-Commerce ",Woman,"College degree",78917.50
"Education (Other)",Woman,"Master's degree",79000.00
Animation,Woman,"College degree",79000.00
"Game Development",Woman,"Master's degree",79000.00
"Real Estate",Man,"College degree",79148.33
Law,Non-binary,"Professional degree (MD, JD, etc)",79617.50
"Research and Development",Woman,"College degree",79833.33
"Agriculture or Forestry",Woman,"High School",79900.00
"Utilities & Telecommunications",Other,"Master's degree",79900.00
Sales,"Prefer not to answer","College degree",80000.00
Airline,Woman,"College degree",80000.00
"Skilled trade ",Woman,"College degree",80000.00
Lobbying,Man,"Master's degree",80000.00
Service,Woman,"Master's degree",80000.00
"Video games",Non-binary,"College degree",80000.00
Insurance,"Prefer not to answer","Professional degree (MD, JD, etc)",80000.00
"Cosmetology ",Woman,"College degree",80000.00
Unions,Man,"Professional degree (MD, JD, etc)",80000.00
Recruitment,Woman,"Master's degree",80035.29
"Engineering or Manufacturing",Other,"Master's degree",80066.67
Entertainment,Man,"College degree",80230.69
Unknown,Woman,PhD,80333.33
"Education (Primary/Secondary)",Woman,PhD,80603.85
Telecommunication,Woman,"College degree",80798.00
Computing/Tech,Woman,"High School",80803.04
"Accounting, Banking & Finance",Man,"College degree",80852.47
Wine,Woman,"College degree",80875.00
"Corporate sustainability ",Woman,"College degree",81000.00
Publications,Man,"Master's degree",81000.00
"Government and Public Administration",Other,"Master's degree",81150.29
Beauty,Woman,"College degree",81300.00
Retail,Man,"Professional degree (MD, JD, etc)",81333.33
"Aerospace and Defense",Woman,"College degree",81430.00
Restaurant,Woman,"College degree",81500.00
Government,Woman,"Master's degree",81800.00
"Education (Higher Education)","Prefer not to answer",PhD,81833.33
"Life Science",Man,PhD,82000.00
"User Experience Research",Woman,"College degree",82000.00
"Preclinical Research",Woman,"College degree",82000.00
Landscaping,Woman,"Master's degree",82000.00
"Policy research",Woman,"Master's degree",82000.00
Medical,Woman,"Master's degree",82237.50
Law,Man,"Master's degree",82262.50
"Engineering or Manufacturing",Woman,"College degree",82425.26
"Transport or Logistics",Man,"Master's degree",82572.76
Automotive,Woman,"College degree",82690.00
"Public Library",Man,"College degree",82700.00
"Business or Consulting",Other,"College degree",82780.00
Sales,Man,"College degree",82808.33
"Program Management ",Woman,"Master's degree",83000.00
"International Organisation",Woman,"Master's degree",83000.00
Military,Woman,"College degree",83000.00
"Renewable Energy",Woman,"College degree",83000.00
"Game Development",Woman,"College degree",83000.00
"Trade Association",Woman,"Professional degree (MD, JD, etc)",83000.00
Mining,Woman,"College degree",83034.67
"Education (Higher Education)",Woman,"Professional degree (MD, JD, etc)",83093.66
Tourism,Woman,"College degree",83175.00
Mining,Woman,"High School",83200.00
"Lab Science",Man,"Master's degree",83200.00
"Accounting, Banking & Finance",Woman,"Professional degree (MD, JD, etc)",83581.15
"Business or Consulting",Woman,"College degree",83646.57
"Urban Planning",Woman,"Master's degree",83692.00
"Marketing, Advertising & PR",Man,"College degree",83738.12
"Environmental Consulting",Woman,PhD,83750.00
Pharmaceutical,Woman,"College degree",83768.03
Manufacturing,Woman,"Professional degree (MD, JD, etc)",83833.33
"Government and Public Administration",Woman,"Master's degree",83863.39
"Community Foundation",Woman,"Master's degree",84000.00
"Law Enforcement & Security",Woman,"Professional degree (MD, JD, etc)",84200.00
Nonprofits,Woman,PhD,84372.15
Mining,Man,"High School",84500.00
"Renewable Energy",Woman,"Master's degree",84812.50
"Health care",Man,"Master's degree",84876.47
"Software as a Service",Man,"College degree",85000.00
Surveying,Man,"Master's degree",85000.00
Nonprofits,Man,PhD,85000.00
Student,Woman,"Master's degree",85000.00
"Media & Digital","Prefer not to answer","Master's degree",85000.00
"Accounting, Banking & Finance",Other,"Professional degree (MD, JD, etc)",85000.00
"Food Manufacturing",Woman,PhD,85000.00
"International development",Woman,"Professional degree (MD, JD, etc)",85000.00
Insurance,Woman,"Master's degree",85137.53
"Transport or Logistics",Woman,"Master's degree",85263.49
Computing/Tech,Non-binary,"High School",85376.00
"Utilities & Telecommunications",Man,"College degree",85525.85
Entertainment,Man,"Master's degree",85640.00
"Education (Higher Education)",Man,PhD,85668.02
"Marketing, Advertising & PR",Woman,"Master's degree",85842.15
Software,Woman,"College degree",85900.00
Biotech,Non-binary,"Master's degree",86000.00
Purchasing,Woman,"College degree",86200.00
"Accounting, Banking & Finance",Other,"College degree",86302.00
"Oil and Gas",Man,"College degree",86625.00
Philanthropy,Woman,"Master's degree",86700.00
Architecture,Woman,"Master's degree",86771.43
"Government Contractor",Woman,"College degree",86867.45
"Defense Contractor",Woman,PhD,86953.00
"Print / Mail",Man,"College degree",87000.00
"Language Services",Woman,"College degree",87000.00
"Public Library",Non-binary,"Master's degree",87000.00
"Marketing, Advertising & PR",Other,"Master's degree",87000.00
Research,"Prefer not to answer","College degree",87000.00
Maintenance,Man,"College degree",87000.00
"Property or Construction",Man,"Master's degree",87080.24
"Oil and Gas",Woman,"College degree",87306.47
"Agriculture or Forestry",Man,PhD,87500.00
Cannabis,Woman,"Master's degree",87500.00
"Agriculture or Forestry","Prefer not to answer",PhD,88000.00
Geospatial,Man,"Master's degree",88007.00
"Health care",Woman,"Master's degree",88052.63
Unions,Woman,"College degree",88193.00
Sales,Woman,"Professional degree (MD, JD, etc)",88333.33
Medical,Woman,PhD,88400.00
Insurance,Woman,PhD,88425.00
Nonprofits,"Prefer not to answer","Master's degree",88500.00
Training,Man,"College degree",88700.00
"Engineering or Manufacturing",Man,"College degree",88778.91
"Food Manufacturing",Man,"College degree",89000.00
"Executive Search",Woman,"College degree",89000.00
"Research and Development",Man,PhD,89000.00
"Environmental Consulting",Other,"Master's degree",89000.00
"Benefits Administration",Woman,"College degree",89000.00
Computing/Tech,Man,"High School",89088.21
"Research and Development",Woman,"Master's degree",89125.00
"Engineering or Manufacturing",Other,"College degree",89129.85
Manufacturing,Woman,"Master's degree",89201.67
Sales,Man,"Master's degree",89310.00
Manufacturing,Woman,PhD,89620.00
"Private Equity",Woman,"College degree",89666.67
"Aerospace and Defense",Woman,"Master's degree",89666.67
Nonprofits,Other,"Master's degree",89857.14
Nonprofits,Other,PhD,89875.00
"Accounting, Banking & Finance",Woman,"Master's degree",89987.29
"Business or Consulting",Other,"Master's degree",90000.00
"Child Care",Woman,"Master's degree",90000.00
"Property or Construction",Non-binary,"Master's degree",90000.00
Politics,Man,"Master's degree",90000.00
"Outsourcing Services ",Man,"College degree",90000.00
"Consumer Goods",Man,"College degree",90000.00
Soldier,Man,"College degree",90000.00
Fashion,Woman,"College degree",90000.00
"Video games",Man,"High School",90000.00
"Food and Beverage",Man,"College degree",90000.00
Law,Man,PhD,90000.00
"Social Work",Other,"College degree",90000.00
"Industrial Hygiene",Woman,"Master's degree",90000.00
Insurance,Man,"College degree",90290.80
Recruitment,"Prefer not to answer","College degree",90333.33
"Communication Research",Woman,PhD,90456.00
"Government and Public Administration",Man,"High School",90457.14
Sales,Woman,"Master's degree",90945.11
"Engineering or Manufacturing",Man,"Professional degree (MD, JD, etc)",90974.67
"Library ",Woman,"College degree",91000.00
"Accounting, Banking & Finance","Prefer not to answer","College degree",91050.00
"Business or Consulting",Man,"College degree",91077.19
"Animal Health",Woman,"College degree",91333.33
"Oil and Gas",Man,"Master's degree",91348.33
Pharmaceutical,Man,"College degree",91840.00
"Utilities & Telecommunications",Woman,"Master's degree",91970.05
"Government and Public Administration",Woman,PhD,91979.78
"Instructional Design",Woman,"College degree",92000.00
Technical,Woman,"Master's degree",92000.00
"Large University Administration",Woman,"Master's degree",92000.00
"Political Campaigns",Woman,"Master's degree",92000.00
Consulting,Non-binary,"Master's degree",92000.00
"Media & Digital",Non-binary,"Professional degree (MD, JD, etc)",92000.00
"Government and Public Administration",Man,"Master's degree",92053.34
"Government and Public Administration",Non-binary,PhD,92200.00
"Clinical Research",Woman,"Master's degree",92250.00
"Consumer Goods",Woman,"College degree",92594.50
Biotech,Man,"Master's degree",92720.00
"Life Science",Woman,PhD,92723.00
"Media & Digital",Man,"Master's degree",92850.00
"Media & Digital",Woman,"Professional degree (MD, JD, etc)",92996.25
"Business or Consulting","Prefer not to answer","College degree",93000.00
"DoD Contracting",Woman,"College degree",93000.00
Medical,Woman,"High School",93000.00
"Accounting, Banking & Finance",Man,"Professional degree (MD, JD, etc)",93118.75
"Government Relations",Woman,"College degree",93125.00
Unknown,Man,"Master's degree",93166.67
"Business or Consulting",Woman,"Master's degree",93176.11
Insurance,Man,"High School",93243.75
"Energy - Oil and Gas",Woman,"College degree",93500.00
Recruitment,Woman,"Professional degree (MD, JD, etc)",93540.00
Biotech,Woman,"College degree",93705.13
Nonprofits,Woman,"Professional degree (MD, JD, etc)",93710.96
"Grantwriting Consultants",Woman,"Master's degree",94000.00
"Agriculture or Forestry",Woman,PhD,94493.00
"Media & Digital",Woman,PhD,94500.00
"social Work",Woman,PhD,94547.50
"Utilities & Telecommunications",Woman,PhD,94666.67
"Video games",Man,"College degree",95000.00
"Coffee - Importing",Non-binary,"College degree",95000.00
"Executive Search",Woman,"Master's degree",95000.00
"Film Post-Production",Man,"College degree",95000.00
"Education (Other)",Man,"College degree",95000.00
"Hardware Manufacturing",Woman,"College degree",95000.00
Travel,Man,"College degree",95000.00
"Media & Digital",Other,"Master's degree",95000.00
Computing/Tech,Other,"College degree",95240.69
Apparel,Woman,"Master's degree",95500.00
"Staffing agency",Woman,PhD,95500.00
"Education (Higher Education)",Man,"Professional degree (MD, JD, etc)",95600.00
"Accounting, Banking & Finance",Other,"Master's degree",95771.43
"Engineering or Manufacturing",Woman,"Master's degree",95906.24
"Real Estate",Woman,"Master's degree",95944.44
Medical,Man,"Master's degree",96000.00
Computing/Tech,Non-binary,"College degree",96191.69
Architecture,Woman,"Professional degree (MD, JD, etc)",96333.33
"Government and Public Administration",Woman,"Professional degree (MD, JD, etc)",96361.68
"Business or Consulting",Man,"Master's degree",96382.08
Pharmaceutical,Man,PhD,96500.00
"Defense Contractor",Woman,"College degree",96750.00
"Engineering or Manufacturing",Woman,"Professional degree (MD, JD, etc)",96750.00
"Consumer Research",Woman,PhD,97000.00
Computing/Tech,Woman,"College degree",97020.54
Archives,Woman,"College degree",97282.00
Compliance,Woman,"Professional degree (MD, JD, etc)",97500.00
Energy,Woman,"College degree",97583.33
"Corporate Sustainability ",Woman,"Master's degree",97666.67
"Accounting, Banking & Finance",Man,"Master's degree",97784.01
"Government and Public Administration","Prefer not to answer","Master's degree",97875.00
Pharmaceutical,Non-binary,"Master's degree",98000.00
Unknown,Other,"Master's degree",98000.00
Distribution,Woman,"College degree",98000.00
Insurance,Woman,"Professional degree (MD, JD, etc)",98195.33
Law,Woman,PhD,98333.33
"Legal Services",Woman,"Master's degree",98500.00
Training,Woman,"Master's degree",98500.00
"Supply Chain",Man,"College degree",98736.00
Insurance,Man,"Master's degree",98926.00
"Government Relations",Woman,"Master's degree",99000.00
"Organizational Development ",Woman,"Master's degree",99100.00
Veterinary,Woman,"Professional degree (MD, JD, etc)",99160.00
"Government Contractor",Woman,"Master's degree",99285.71
"Engineering or Manufacturing",Man,"Master's degree",99946.09
"Art & Design","Prefer not to answer","Master's degree",100000.00
"Education (Other)",Man,"Master's degree",100000.00
"Law Enforcement & Security",Man,PhD,100000.00
"Media & Digital",Man,"Professional degree (MD, JD, etc)",100000.00
"Waste Management ",Woman,"College degree",100000.00
"Digital Marketing",Man,"College degree",100000.00
"Database subscription services",Woman,"College degree",100000.00
Consulting,Man,"Master's degree",100000.00
Religion,Man,"Professional degree (MD, JD, etc)",100000.00
Computing/Tech,Other,"Professional degree (MD, JD, etc)",100000.00
Sales,Man,PhD,100000.00
Wholesale,Man,"High School",100006.00
"Health care",Man,"Professional degree (MD, JD, etc)",100024.81
Law,Woman,"Professional degree (MD, JD, etc)",100027.41
Energy,Man,"College degree",100666.67
"Engineering or Manufacturing","Prefer not to answer","College degree",100800.00
"Internal Communications",Woman,"College degree",100800.00
Recruitment,Man,"Master's degree",100857.14
"Health care",Woman,PhD,101439.64
"Government and Public Administration",Man,"Professional degree (MD, JD, etc)",101475.23
"Marketing, Advertising & PR",Woman,PhD,101544.44
Computing/Tech,Woman,"Professional degree (MD, JD, etc)",101888.75
"Chemical Manufacturing",Woman,"Master's degree",102000.00
"Health care","Prefer not to answer",PhD,102000.00
"Engineering or Manufacturing",Woman,PhD,102311.41
"Utilities & Telecommunications",Man,"Master's degree",102330.43
"Health care",Man,PhD,102400.00
Computing/Tech,Non-binary,"Master's degree",102437.59
"Health care","Prefer not to answer","Professional degree (MD, JD, etc)",102450.00
"Marketing, Advertising & PR",Man,"High School",102500.00
"Consumer Goods",Woman,"Master's degree",102633.33
Law,"Prefer not to answer","College degree",103000.00
"Physical sciences",Man,PhD,103000.00
"Beverage & Spirits",Woman,"Master's degree",103000.00
Retail,Man,PhD,103000.00
"Political Campaigns","Prefer not to answer","College degree",103000.00
Law,"Prefer not to answer","Master's degree",103000.00
"Synthetic Chemical Manufacturing",Woman,"Master's degree",103000.00
Computing/Tech,Man,"College degree",103090.91
Computing/Tech,Woman,"Master's degree",103386.23
"Hospitality & Events",Man,"Master's degree",103750.00
Fintech,Woman,"College degree",103750.00
"Organized Labor",Woman,"Professional degree (MD, JD, etc)",103996.00
"Auto Manufacture",Man,"College degree",104000.00
"Urban Planning",Woman,"Professional degree (MD, JD, etc)",104000.00
"Real Estate",Man,"Master's degree",104333.33
Entertainment,Woman,PhD,104500.00
Insurance,Man,PhD,104571.43
"Contractor ",Woman,PhD,105000.00
"Science  ",Woman,PhD,105000.00
"Food & Nutrition",Other,"College degree",105000.00
"Sourcing & Procurement",Woman,"Professional degree (MD, JD, etc)",105000.00
"Software as a Service",Woman,"College degree",105166.67
"Government and Public Administration",Man,PhD,105318.80
Insurance,Other,"College degree",105375.00
Biotech,Woman,"Master's degree",105494.24
"Organized Labor",Woman,"Master's degree",105500.00
"Health care",Woman,"Professional degree (MD, JD, etc)",106627.87
Finance,Woman,"College degree",106750.00
Law,Man,"Professional degree (MD, JD, etc)",106966.30
Biotech,Woman,"High School",107000.00
Pharmaceutical,"Prefer not to answer","College degree",107000.00
"Utilities & Telecommunications",Man,PhD,107100.00
Recruitment,Woman,PhD,107343.75
Pharmaceutical,Woman,"Master's degree",107611.11
Computing/Tech,"Prefer not to answer","College degree",107777.19
"Human Capital Management",Woman,"College degree",108000.00
"Benefits Administration",Man,"College degree",108000.00
Veterinary,Woman,PhD,108000.00
"Clean energy",Woman,"Professional degree (MD, JD, etc)",108150.00
"Chemical Manufacturing",Woman,PhD,108800.00
Computing/Tech,Man,"Master's degree",108855.63
Finance,Woman,"Master's degree",110000.00
"Bioinformatics ",Woman,"Master's degree",110000.00
Fintech,Woman,"Master's degree",110000.00
Archaeology,Other,"Master's degree",110000.00
Intelligence,Woman,"College degree",110000.00
Recruitment,Other,"Master's degree",110000.00
Pharmaceutical,Woman,PhD,110269.89
"Trade Association",Woman,"Master's degree",111000.00
"Business or Consulting",Woman,PhD,111370.74
Computing/Tech,Man,PhD,111420.52
"Health care",Other,"Professional degree (MD, JD, etc)",111500.00
"Utilities & Telecommunications",Woman,"Professional degree (MD, JD, etc)",111750.00
Biotech,Woman,PhD,111828.00
"Business or Consulting",Non-binary,PhD,112000.00
"Biomedical Research",Man,PhD,112500.00
Computing/Tech,Other,"Master's degree",113266.67
"Accounting, Banking & Finance",Woman,PhD,113300.00
Computing/Tech,"Prefer not to answer","Master's degree",113500.00
"Supply Chain",Woman,"College degree",113539.00
"Defense Contractor",Woman,"Master's degree",114600.00
"National laboratory",Woman,PhD,115000.00
"Software Development",Woman,"Master's degree",115000.00
Computing/Tech,Non-binary,PhD,115000.00
"Hospitality & Events",Woman,PhD,115000.00
"Product Management",Man,"Master's degree",115000.00
Fundraising,Woman,"High School",115000.00
"B2B Services ",Woman,"College degree",115000.00
IT,Man,"College degree",116000.00
"State-level public transportation agency",Man,"Master's degree",116000.00
Nonprofits,Man,"Professional degree (MD, JD, etc)",116250.00
Fundraising,Woman,"Master's degree",116813.33
"Property or Construction",Other,"Master's degree",117333.33
Internet,Woman,"Master's degree",117500.00
"Education Consulting",Woman,"Professional degree (MD, JD, etc)",118000.00
Technical,Woman,"College degree",118750.00
Software,Man,"College degree",119000.00
Pharmaceutical/Biotechnology,Woman,"Master's degree",119420.00
Entertainment,Woman,"Professional degree (MD, JD, etc)",119500.00
"Energy - Oil and Gas",Man,"College degree",120000.00
Psychology,Woman,PhD,120000.00
Computing/Tech,Other,"High School",120000.00
"Storage Facility ",Woman,"College degree",120000.00
"Family office ",Woman,"College degree",120000.00
Computing/Tech,Woman,PhD,120306.38
Publishing,Man,"College degree",120350.00
"Engineering or Manufacturing",Man,PhD,121070.83
"Business or Consulting",Woman,"Professional degree (MD, JD, etc)",121107.14
"Business or Consulting",Non-binary,"Master's degree",121400.00
Pharmaceutical,Man,"Professional degree (MD, JD, etc)",122000.00
"Nuclear Research",Man,"College degree",122000.00
"Accounting, Banking & Finance","Prefer not to answer","Master's degree",122700.00
"Aerospace and Defense",Man,"College degree",122806.00
"International Development",Woman,"Master's degree",123086.67
"Consumer Goods",Man,"Master's degree",123500.00
IT,Woman,"Master's degree",123600.00
"Government and Public Administration","Prefer not to answer",PhD,123859.50
"Education (Other)",Man,PhD,124000.00
"Environment - Oil and Gas",Woman,"College degree",124800.00
"Sign Language Interpreter, Community",Woman,"College degree",124800.00
Military,Woman,"High School",125000.00
"Family Office",Woman,"College degree",125000.00
"E-Commerce ",Man,"College degree",125000.00
"Science ",Man,"College degree",125000.00
Computing/Tech,Man,"Professional degree (MD, JD, etc)",125500.00
"Federal Contracting",Woman,"Master's degree",125500.00
Engineering,Man,"College degree",127000.00
Museum,Man,PhD,128000.00
Procurement,Woman,"Master's degree",128000.00
Distribution,Woman,"Master's degree",128000.00
Law,"Prefer not to answer","Professional degree (MD, JD, etc)",128357.14
Finance,Woman,"Professional degree (MD, JD, etc)",129000.00
"Transport or Logistics",Woman,"Professional degree (MD, JD, etc)",130000.00
"Real Estate ",Woman,"Master's degree",130000.00
"Government Affairs/Lobbying",Woman,"Master's degree",130000.00
Beauty,Woman,"Master's degree",131000.00
"Health care",Non-binary,"Professional degree (MD, JD, etc)",131350.00
"Environmental Consulting",Man,"Master's degree",132000.00
Energy,Man,"Master's degree",132999.00
"User Experience Research",Woman,"Master's degree",134000.00
"Product Management",Woman,PhD,134125.00
"Consumer Goods",Woman,PhD,134971.00
"STEM research",Woman,PhD,135000.00
"Engineering or Manufacturing",Other,PhD,136000.00
Pharmaceutical,Man,"Master's degree",137333.33
Mining,Man,"Master's degree",138000.00
Economics,Woman,PhD,138000.00
Law,Other,"Professional degree (MD, JD, etc)",138500.00
"Business or Consulting",Other,"Professional degree (MD, JD, etc)",140000.00
"User Experience Research",Other,"College degree",140000.00
"Agriculture or Forestry",Man,"High School",140000.00
"Energy - Oil and Gas",Woman,"Master's degree",140000.00
"Education Consulting",Woman,PhD,140000.00
"Global Health Consulting",Woman,"Master's degree",140000.00
"Waste Management ",Woman,"Master's degree",140000.00
Gaming,Non-binary,"College degree",140000.00
"Diversity, Equity & Inclusion ",Woman,"College degree",140000.00
"Research and Development",Woman,PhD,140500.00
Biotech,Man,PhD,141666.67
Law,Other,PhD,142000.00
"Oil and Gas",Man,PhD,142100.00
"Affordable Housing Real Estate Development (nonprofit)",Woman,"Master's degree",144200.00
"Travel ",Woman,"Master's degree",145000.00
"Software Development",Woman,"College degree",145000.00
"Business or Consulting",Man,PhD,146250.00
"Drug development ",Man,"Master's degree",147000.00
Energy,Woman,"Professional degree (MD, JD, etc)",148000.00
Architecture,Man,"Master's degree",150000.00
Consulting,Woman,"Master's degree",150000.00
Biopharm,Woman,"Master's degree",150000.00
Strategy,Woman,"College degree",150000.00
"Utilities & Telecommunications",Man,"Professional degree (MD, JD, etc)",150000.00
"Accounting, Banking & Finance",Man,PhD,152000.00
"Aerospace and Defense",Man,"Master's degree",155000.00
Pharmaceutical/Biotechnology,Woman,"Professional degree (MD, JD, etc)",160000.00
"Engineering or Manufacturing","Prefer not to answer",PhD,160000.00
"Consumer Goods",Man,"Professional degree (MD, JD, etc)",160000.00
Pharmaceutical/Biotechnology,Woman,PhD,160000.00
Analytics,Woman,"Master's degree",162000.00
"Health care","Prefer not to answer","Master's degree",162500.00
Pharmaceutical/Biotechnology,Man,PhD,168000.00
"Business or Consulting","Prefer not to answer",PhD,170000.00
"Renewable Energy",Man,"Professional degree (MD, JD, etc)",170000.00
"Renewable Energy ",Woman,"College degree",170000.00
"International Organisation",Woman,PhD,170000.00
